0,0.045,0.003,0.048,0.065,0.305,0.002,0.532
1,0.000,0.000,0.000,0.988,0.000,0.000,0.011
2,0.008,0.000,0.005,0.886,0.013,0.009,0.078
3,0.010,0.003,0.025,0.035,0.124,0.004,0.799
4,0.077,0.127,0.074,0.001,0.443,0.000,0.278
5,0.023,0.001,0.449,0.000,0.485,0.001,0.040
6,0.075,0.000,0.011,0.000,0.072,0.000,0.842
7,0.009,0.000,0.002,0.010,0.209,0.000,0.771
8,0.001,0.000,0.051,0.944,0.005,0.000,0.000
9,0.257,0.003,0.008,0.000,0.078,0.000,0.653
10,0.003,0.000,0.005,0.116,0.200,0.000,0.676
11,0.021,0.500,0.027,0.000,0.427,0.000,0.024
12,0.001,0.000,0.007,0.001,0.189,0.000,0.801
13,0.001,0.000,0.009,0.000,0.986,0.000,0.004
14,0.004,0.000,0.032,0.000,0.091,0.001,0.871
15,0.122,0.002,0.241,0.000,0.260,0.002,0.372
16,0.048,0.012,0.046,0.000,0.517,0.000,0.377
17,0.045,0.003,0.048,0.065,0.305,0.002,0.532
18,0.000,0.000,0.000,0.988,0.000,0.000,0.011
19,0.008,0.000,0.005,0.886,0.013,0.009,0.078
20,0.010,0.003,0.025,0.035,0.124,0.004,0.799
21,0.077,0.127,0.074,0.001,0.443,0.000,0.278
22,0.023,0.001,0.449,0.000,0.485,0.001,0.040
23,0.075,0.000,0.011,0.000,0.072,0.000,0.842
24,0.009,0.000,0.002,0.010,0.209,0.000,0.771
25,0.001,0.000,0.051,0.944,0.005,0.000,0.000
26,0.257,0.003,0.008,0.000,0.078,0.000,0.653
27,0.003,0.000,0.005,0.116,0.200,0.000,0.676
28,0.021,0.500,0.027,0.000,0.427,0.000,0.024
29,0.001,0.000,0.007,0.001,0.189,0.000,0.801
30,0.001,0.000,0.009,0.000,0.986,0.000,0.004
31,0.004,0.000,0.032,0.000,0.091,0.001,0.871
32,0.122,0.002,0.241,0.000,0.260,0.002,0.372
33,0.048,0.012,0.046,0.000,0.517,0.000,0.377
34,0.045,0.003,0.048,0.065,0.305,0.002,0.532
35,0.000,0.000,0.000,0.988,0.000,0.000,0.011
36,0.008,0.000,0.005,0.886,0.013,0.009,0.078
37,0.010,0.003,0.025,0.035,0.124,0.004,0.799
38,0.077,0.127,0.074,0.001,0.443,0.000,0.278
39,0.023,0.001,0.449,0.000,0.485,0.001,0.040
40,0.075,0.000,0.011,0.000,0.072,0.000,0.842
41,0.009,0.000,0.002,0.010,0.209,0.000,0.771
42,0.001,0.000,0.051,0.944,0.005,0.000,0.000
43,0.257,0.003,0.008,0.000,0.078,0.000,0.653
44,0.003,0.000,0.005,0.116,0.200,0.000,0.676
45,0.021,0.500,0.027,0.000,0.427,0.000,0.024
46,0.001,0.000,0.007,0.001,0.189,0.000,0.801
47,0.001,0.000,0.009,0.000,0.986,0.000,0.004
48,0.004,0.000,0.032,0.000,0.091,0.001,0.871
49,0.122,0.002,0.241,0.000,0.260,0.002,0.372
50,0.048,0.012,0.046,0.000,0.517,0.000,0.377
